par_state,par_county,kid_race,par_pctile,shrunk_xkid_stubalance2020,county_name
1,57,Black,-9,14881.25,Fayette
1,57,White,-9,4643,Fayette
1,59,Asian,75,16070,Franklin
1,59,Pooled,75,9178.692682926829,Franklin
1,59,Hispanic,25,3248,Franklin
1,59,White,75,7874,Franklin
1,59,Hispanic,-9,6583,Franklin
1,59,Black,25,15830,Franklin
1,59,Asian,25,8396,Franklin
1,59,White,50,6765,Franklin
1,59,Hispanic,75,9918,Franklin
1,59,Black,-9,22075,Franklin
1,59,Asian,50,12233,Franklin
1,59,AIAN,75,7554,Franklin
1,59,AIAN,25,8102,Franklin
1,59,Black,50,22075,Franklin
1,59,Asian,-9,12233,Franklin
1,59,Pooled,-9,7292.074803149606,Franklin
1,59,Black,75,28320,Franklin
1,59,AIAN,-9,7828,Franklin
1,59,Pooled,50,7597.171423971666,Franklin
1,59,White,25,5656,Franklin
1,59,Pooled,25,6015.650165016502,Franklin
1,59,Hispanic,50,6583,Franklin
1,59,AIAN,50,7828,Franklin
1,59,White,-9,6516.867579908676,Franklin
1,61,White,-9,5890.222222222223,Geneva
1,61,White,75,7423,Geneva
1,61,Black,50,15355,Geneva
1,61,Black,25,11220,Geneva
1,61,AIAN,25,5055,Geneva
1,61,Hispanic,25,4274,Geneva
1,61,Pooled,25,6196.638190954774,Geneva
1,61,AIAN,50,5451.5,Geneva
1,61,Hispanic,75,15900,Geneva
1,61,AIAN,-9,5451.5,Geneva
1,61,Black,-9,12723.63636363636,Geneva
1,61,Hispanic,-9,10087,Geneva
1,61,Pooled,-9,7015.170068027211,Geneva
1,61,Pooled,75,8729.778947368421,Geneva
1,61,White,50,6266,Geneva
1,61,AIAN,75,5848,Geneva
1,61,Black,75,19490,Geneva
1,61,Pooled,50,7463.208569161598,Geneva
1,61,Hispanic,50,10087,Geneva
1,61,White,25,5109,Geneva
1,63,White,50,7071,Greene
1,63,Hispanic,-9,4582.5,Greene
1,63,White,75,7528,Greene
1,63,White,25,6614,Greene
1,63,Hispanic,75,328,Greene
1,63,Pooled,75,17522.66666666667,Greene
1,63,Black,25,19910,Greene
1,63,Black,-9,21120.09708737864,Greene
1,63,Hispanic,25,8837,Greene
1,63,Pooled,-9,18397.57936507936,Greene
1,63,Pooled,25,18557.77464788732,Greene
1,63,Black,75,35490,Greene
1,63,Pooled,50,18040.22065727699,Greene
1,63,Black,50,27700,Greene
1,63,White,-9,7071,Greene
1,63,Hispanic,50,4582.5,Greene
1,65,Hispanic,75,13700,Hale
1,65,Black,75,28540,Hale
1,65,Black,50,24220,Hale
1,65,Pooled,-9,15169.35632183908,Hale
1,65,White,-9,6041.8,Hale
1,65,White,25,3701,Hale
1,65,Pooled,25,16134.36923076923,Hale
1,65,Black,25,19900,Hale
1,65,Black,-9,20552.07547169811,Hale
1,65,Hispanic,-9,12305,Hale
1,65,Pooled,75,12318.18181818182,Hale
1,65,White,50,5895.5,Hale
1,65,Hispanic,25,10910,Hale
1,65,Pooled,50,14226.27552447552,Hale
1,65,Hispanic,50,12305,Hale
1,65,White,75,8090,Hale
1,67,Hispanic,75,9852,Henry
1,67,Pooled,-9,9943.624413145541,Henry
1,67,Black,75,20450,Henry
1,67,Pooled,50,9842.136377068558,Henry
1,67,Hispanic,50,10681,Henry
1,67,Pooled,25,10155.42553191489,Henry
1,67,Pooled,75,9528.847222222223,Henry
1,67,White,-9,6743.33870967742,Henry
1,67,Hispanic,-9,10681,Henry
1,67,White,25,5747,Henry
1,67,White,75,7841,Henry
1,67,Black,50,17255,Henry
1,67,White,50,6794,Henry
1,67,Black,-9,14770,Henry
1,67,Black,25,14060,Henry
1,67,Hispanic,25,11510,Henry
1,69,Asian,75,10820,Houston
1,69,Pooled,-9,11201.07485281749,Houston
1,69,AIAN,50,9153.5,Houston
1,69,Hispanic,75,12510,Houston
1,69,White,50,8541.5,Houston
1,69,Asian,-9,9975,Houston
1,69,Black,25,15750,Houston
1,69,Asian,50,9975,Houston
1,69,Pooled,75,11824.72248353716,Houston
1,69,White,25,7119,Houston
1,69,Black,-9,17983.44051446945,Houston
1,69,White,75,9964,Houston
1,69,White,-9,8701.426035502958,Houston
1,69,Asian,25,9130,Houston
1,69,AIAN,75,11600,Houston
1,69,Hispanic,25,13550,Houston
1,69,AIAN,25,6707,Houston
1,69,Pooled,25,10696.93992395437,Houston
1,69,Black,50,23300,Houston
1,69,Hispanic,50,13030,Houston
1,69,Black,75,30850,Houston
1,69,Pooled,50,11260.83120374577,Houston
1,69,Hispanic,-9,13095,Houston
1,69,AIAN,-9,9153.5,Houston
1,71,Asian,50,11740,Jackson
1,71,AIAN,50,8001.5,Jackson
1,71,Hispanic,25,5781,Jackson
1,71,Asian,75,12250,Jackson
1,71,AIAN,-9,8001.5,Jackson
